Designator,Mid X,Mid Y,Rotation,Layer
C1,126.0,-113.0,0.0,top
C2,123.0,-111.0,270.0,top
C3,128.75,-110.25,270.0,top
D1,147.5,-88.25,180.0,top
D2,122.75,-108.0,90.0,top
D4,126.0,-107.25,0.0,top
D5,147.4625,-102.5,180.0,top
J1,134.62,-95.25,270.0,top
J3,162.56,-80.645,0.0,top
J4,120.65,-95.25,270.0,top
J5,172.55,-89.75,90.0,top
J6,148.59,-80.645,0.0,top
J7,175.36,-100.75,90.0,top
R1,150.2,-88.25,0.0,top
R2,150.2,-102.5,0.0,top
R3,158.81757,-95.242702,270.0,top
R4,166.25,-95.25,270.0,top
SW1,153.67,-95.25,90.0,top
SW2,162.56,-91.44,90.0,top
SW3,162.56,-99.06,90.0,top
U1,126.0,-110.25,0.0,top
